1	Hiiiii meghana
1	Alias kajal agarwaal
1	Reply please meghana
1	For you see, each day I love you more. Today more than yesterday and less than tomorrow.
0	Hi sorry i didn't txt u I was very busy with school. So how is college? How are u and ur family? Hope they r doing good. I miss u so much.
0	Have u watched any good movies lately? I didn't. Good movies are not coming this time to here. Idk but did u watch Bruce lee movie?
1	Yeah i watched
1	[Media-image] https://ton.twitter.com/1.1/ton/data/dm/662875314901508099/662875315023142912/Q_uJAVum.jpg
1	I completed my collage session i am in coaching center
1	I am feeling so so so happy for u r reply meghana
1	I am sorry i cant wish u on u r birthday april 2 i tried to do i failed
1	I use to call u r dad but he say she is at school or she is sleeping like that
1	I celebrated u r birthday by giving a party to pals
1	Because i am in madly in love with you meghana .u r my angel came from heaven
0	That's so nice of u! Thank u. It's ok maybe u can wish me next year! How was the movie? Is it good? How did u celebrate my birthday?
1	Happiest moment in my life
0	I have a question but be honest ok? Who do u like more? Me or jahanavi?
1	When u r leaving me i felt almost lifeless
1	I like u more i dont know how jahanavi face looks
1	I dont how she is
0	That's so sweet! U never saw her face? I thought u have a pic of her? Can u be honest with me plz
1	I swear that i dont have any relation with jahanavi
1	That was shared from jahanavi moms mobile
1	Believe me meghana i truly love
1	You you you
0	No not that. Don't tell anyone that I am texting u ok not my parents not even my aunt ok plz don't or I will get in trouble plz
1	I willl ik
1	Ok
1	I wont tell to anyone promise
0	U will what? Ok I am trusting u I don't want to lose trust in u
1	Please say that u love me
1	I am yours till my last breath
1	I was failed
0	U r so nice! I appreciate that thank u so much I never had a boy talk to me and loved me!
0	What! Why? No plz don't do that
1	If u say i will be u r lover world will be under my feet
0	Ok
1	I think that u wont reply
1	Text me that u love me
0	I am scared to say but u know I do
1	Why are u scared to
1	Anything wrong meghana
0	Did u watch prema katha chitram? I did it's good movie I like the songs
1	Yeah meghana i watched
0	Which song do u like?
0	Which song do u like?
1	First song
1	When she is a student
0	The oh my love song? I do too
1	I am wasting u r precious sleep hours
1	Yeah
0	Good night I will txt u tomorrow if I have time ok
1	I will text 30 min later i am in class room sir came to teach chemistry
1	Its day over here
1	Good night
1	[Media-image] https://ton.twitter.com/1.1/ton/data/dm/662884865272971268/662884865302376448/Zw4Xyekx.jpg
0	U like chemistry? I don't like it I like biology and math they are my favorite subjects
1	Same but that my shedule
1	Bye text u later i love u meghana
0	Going to sleep bye I am busy tomorrow so much
0	One last question but be honest ok
0	Who are u going to marry?
1	Only you
1	I will marry youuuu
1	[Media-image] https://ton.twitter.com/1.1/ton/data/dm/662894570133262339/662894570158448640/DFSltlLj.jpg
1	[Media-image] https://ton.twitter.com/1.1/ton/data/dm/662896998551388163/662896998572429313/K6yuHBo_.jpg
1	Good morning meghana have a nice day
1	[Media-image] https://ton.twitter.com/1.1/ton/data/dm/663005038546022405/663005038566989824/jqhElUV1.jpg
0	Hi good morning? So u don't have college today right cuz it's Sunday?
1	No i have weekend exam
1	I am reading
1	Will u marry me my girl
0	U have a weekend exam? What do u mean?
U watched any good movies? I didn't but every Sunday I watch Mahabharata on tv
0	I have a question. What u like about me and why do u like me so much?
